id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-12-18T22:55:46;Savings Account Dam;ISSUED;CREDIT_CARD;2019-12-19T16:17:17;96990
2;parsing red Chips;2019-12-19T13:14:25;methodology Albania;ISSUED;CREDIT_CARD;2019-12-19T06:41:47;9060
3;Savings Account syndicate Planner;2019-12-19T06:26:23;HDD;CANCELLED;PAYPAL;2019-12-19T11:51:26;44015
4;Rubber Buckinghamshire Games;2019-12-18T19:49:06;Digitized invoice;PAID;PAYPAL;2019-12-18T23:02:20;44975
5;e-enable Communications capacitor;2019-12-19T09:48:18;Georgia;PAID;CREDIT_CARD;2019-12-19T03:04:24;54269
6;Plastic;2019-12-18T22:23:22;Small;PAID;CASH_ON_DELIVERY;2019-12-19T15:51:53;92630
7;deposit Internal;2019-12-18T21:14:28;Highway Ergonomic;CANCELLED;CASH_ON_DELIVERY;2019-12-19T08:27:06;11959
8;bus synthesize Idaho;2019-12-18T23:08:20;Avon;ISSUED;PAYPAL;2019-12-19T02:22:05;47537
9;Montana;2019-12-19T00:56:59;Concrete Investment Account Saint Lucia;PAID;PAYPAL;2019-12-19T02:39:27;80812
10;deposit;2019-12-18T20:43:37;digital maroon;ISSUED;CREDIT_CARD;2019-12-19T12:10:17;64769
