id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2019-12-19T10:19:38;Hat;1
2;supply-chains magenta;2019-12-19T14:45:55;24/7;2
3;Gloves sky blue Oklahoma;2019-12-19T07:57:00;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2019-12-19T16:45:24;Personal Loan Account;4
5;paradigms Home;2019-12-19T09:21:37;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2019-12-19T01:30:39;navigate;6
7;Re-contextualized;2019-12-18T22:22:00;Point Orchestrator;7
8;Solomon Islands Licensed;2019-12-18T21:35:42;installation;8
9;Argentine Peso;2019-12-18T21:02:29;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-12-19T13:27:26;Yen synthesize Creative;10
